fiscalDateEnding,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,retainedEarnings,commonStock,commonStockSharesOutstanding
2021-03-31,10201112000,8672543000,1983318000,1983318000,6322617000.0,208828000,1635328000,50331000,,1225767000,744388000,481379000,72911000.0,1056000,0,3761000,141680000,7344667000,7256148000,15858000,,29695000,88519000,118214000.0,,543820000.0,,118214000,84832000,,2304408000,1497767000,-552037000,79373000
2021-06-30,15790208000,14238055000,4365982000,4365982000,9102196000.0,619675000,1673295000,52175000,,1206994000,705735000,501259000,319878000.0,1056000,11500000,5209000,187688000,11166783000,9677564000,35982000,,30933000,1489219000,113225000.0,1406927000.0,366991000.0,1406927000.0,1406927000,44480000,,4623425000,3104116000,2000,204728000
2021-09-30,18454271000,15869717000,6352775000,6363275000,9089555000.0,331820000,3184688000,55632000,,1543366000,975946000,567420000,120873000.0,1056000,10500000,3460000,879973000,13093774000,9615159000,29422000,,31854000,3478615000,113456000.0,3382185000.0,445172000.0,3382185000.0,3495641000,39684000,14828000.0,5360497000,3510216000,2000,209604000
2021-12-31,21274425000,18373863000,7123478000,7134978000,10690088000.0,457256000,3488919000,59230000,42246000.0,802447000,176689000,625758000,1463000.0,1463000,11500000,2945000,952307000,14892736000,11419035000,39833000,20060000.0,20060000,3473701000,106444000.0,3384795000.0,426665000.0,3384795000.0,3404855000,866224000,14828000.0,6381689000,4350424000,2000,214141000
2022-03-31,20895194000,16940652000,6116388000,6137488000,10238999000.0,402815000,3385132000,65861000,,1299304000,219128000,1080176000,628000.0,628000,21100000,2565000,1164613000,14399101000,10921823000,12650000,149426000.0,149426000,3477278000,99113000.0,3386865000.0,149426000.0,3386865000.0,149426000,984098000,23988000.0,6496093000,3920765000,2000,217472000
2022-06-30,105468243000,102162250000,5682068000,5701468000,95799318000.0,308022000,3688292000,142209000,,1263414000,189508000,1073906000,,350910000,19400000,11128000,1274715000,99654854000,96194296000,40745000,504000.0,504000,3460558000,93491000.0,3389033000.0,504000.0,3389033000.0,3389537000,593443000,12208000.0,5813389000,2827111000,2000,220988000
2022-09-30,111168363000,107679967000,5006584000,5023884000,101821232000.0,300876000,3890601000,170922000,,1235575000,161669000,1073906000,30776000.0,357042000,17300000,15219000,1382361000,105542048000,102073099000,61514000,512000.0,512000,3468949000,83192000.0,3391237000.0,512000.0,3391237000.0,3391749000,507267000,27545000.0,5626315000,2282476000,2000,223916000
2022-12-31,89724873000,86448215000,4425021000,4436421000,80678391000.0,464817000,3910045000,171853000,85015000.0,1209335000,135429000,1073906000,3838000.0,768333000,11400000,18837000,354929000,84270316000,80815293000,56043000,20519000.0,20519000,3455023000,75778000.0,3393448000.0,20519000.0,3393448000.0,3413967000,462222000,19531000.0,5454557000,1725475000,2000,226808000
2023-03-31,139301859000,135843945000,5018409000,5029209000,129942453000.0,548351000,4091396000,172843000,,1269362000,129692000,1139670000,17302000.0,828861000,10800000,31881000,1462343000,133626913000,130202823000,23694000,0.0,0,3424090000,24065000.0,3395613000.0,,3395613000.0,3395613000,442806000,17188000.0,5674946000,1646579000,2000,231489000
2023-06-30,137650575000,134261971000,5166733000,5179733000,128272496000.0,491969000,4042098000,186046000,,1247804000,108134000,1139670000,19243000.0,790133000,13000000,15265000,1451197000,131895872000,128538752000,27983000,0.0,0,3357120000,20961000.0,3334257000.0,,3334257000.0,3334257000,406754000,14252000.0,5754703000,1549174000,2000,234614000
2023-09-30,127305595000,123919222000,5100799000,5113999000,117930899000.0,467193000,4048617000,202274000,,1234605000,94935000,1139670000,19997000.0,813061000,13200000,19532000,1478096000,121384470000,118298786000,36744000,0.0,0,3085684000,17705000.0,3076599000.0,,3076599000.0,3076599000,483629000,3395000.0,5921125000,1546909000,2000,237270000
2023-12-31,206982953000,203585846000,5139351000,5152051000,,425441000,3082747000,192550000,120727000.0,1226092000,86422000,1139670000,30577000.0,792970000,12700000,286643000,654594000,200701304000,197714131000,39294000,0.0,0,2987173000,14723000.0,2979957000.0,,2979957000.0,2979957000,447050000,7216000.0,6281649000,1820346000,2000,239747000
2024-03-31,348036477000,343840946000,6711400000,6711400000,335366185000.0,320302000,2900437000,193056000,,1139670000,79755000,1139670000,44214000.0,1869230000,601845000,379537000,653862000,339965483000,335734599000,26825000,,8820000,4230884000,8820000.0,4225014000.0,,4225014000.0,4225014000,990571000,5870000.0,8070994000,3558080000,2000,242793000
2024-06-30,286959173000,282886632000,7225535000,7225535000,,243256000,3083884000,189533000,,1139670000,70649000,1139670000,,1574766000,812454000,253226000,688559000,278588404000,274353719000,37443000,,237474000,4234685000,,4228019000.0,,4228019000.0,4228019000,682898000,6666000.0,8370769000,3594230000,2000,246298000
2024-09-30,290558608000,286425567000,7723806000,7723806000,58507000.0,203835000,3121291000,193000000,,1139670000,52060000,1139670000,,1619769000,4796190000,255975000,699694000,281830486000,277588438000,39375000,,265259000,4242048000,,4231047000.0,,4231047000.0,4231047000,277087835000,11001000.0,8728122000,3669725000,2000,248834000
